REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2025/03/01 00:05:00,6461.88,132.26,TRADE
QLD1,2025/03/01 00:10:00,6518.04,117.16,TRADE
QLD1,2025/03/01 00:15:00,6446.34,113.64,TRADE
QLD1,2025/03/01 00:20:00,6463.82,113.17,TRADE
QLD1,2025/03/01 00:25:00,6390.42,113.59,TRADE
QLD1,2025/03/01 00:30:00,6369.96,112.56,TRADE
QLD1,2025/03/01 00:35:00,6333.29,114.12,TRADE
QLD1,2025/03/01 00:40:00,6306.75,112.31,TRADE
QLD1,2025/03/01 00:45:00,6328.47,111.13,TRADE
QLD1,2025/03/01 00:50:00,6299.94,114.29,TRADE
QLD1,2025/03/01 00:55:00,6235.12,110.83,TRADE
QLD1,2025/03/01 01:00:00,6242.38,110.83,TRADE
QLD1,2025/03/01 01:05:00,6220.34,129.95,TRADE
QLD1,2025/03/01 01:10:00,6193.86,129.95,TRADE
QLD1,2025/03/01 01:15:00,6165.06,133.76,TRADE
QLD1,2025/03/01 01:20:00,6189.96,135.31,TRADE
QLD1,2025/03/01 01:25:00,6283.95,115.19,TRADE
QLD1,2025/03/01 01:30:00,6256.87,134.91,TRADE
QLD1,2025/03/01 01:35:00,6267.56,136.65,TRADE
QLD1,2025/03/01 01:40:00,6222.21,129.95,TRADE
QLD1,2025/03/01 01:45:00,6257.08,133.66,TRADE
QLD1,2025/03/01 01:50:00,6186.8,116.59,TRADE
QLD1,2025/03/01 01:55:00,6150.03,112.05,TRADE
QLD1,2025/03/01 02:00:00,6126.4,110.83,TRADE
QLD1,2025/03/01 02:05:00,6088.55,109.41,TRADE
QLD1,2025/03/01 02:10:00,6141.18,110.83,TRADE
QLD1,2025/03/01 02:15:00,6106.98,111.89,TRADE
QLD1,2025/03/01 02:20:00,6117.09,112.61,TRADE
QLD1,2025/03/01 02:25:00,6034.02,105.04,TRADE
QLD1,2025/03/01 02:30:00,6045.35,109.18,TRADE
QLD1,2025/03/01 02:35:00,6031.19,111,TRADE
QLD1,2025/03/01 02:40:00,6068.08,110.83,TRADE
QLD1,2025/03/01 02:45:00,6056.69,108.75,TRADE
QLD1,2025/03/01 02:50:00,6038.18,107.66,TRADE
QLD1,2025/03/01 02:55:00,5979.11,106.13,TRADE
QLD1,2025/03/01 03:00:00,5991.13,106.10,TRADE
QLD1,2025/03/01 03:05:00,5934.57,108.18,TRADE
QLD1,2025/03/01 03:10:00,5949.84,110.38,TRADE
QLD1,2025/03/01 03:15:00,5942.54,106.91,TRADE
QLD1,2025/03/01 03:20:00,5985.18,110.83,TRADE
QLD1,2025/03/01 03:25:00,5948.04,106.34,TRADE
QLD1,2025/03/01 03:30:00,5940.66,107.27,TRADE
QLD1,2025/03/01 03:35:00,5927.06,109.99,TRADE
QLD1,2025/03/01 03:40:00,5955.46,110.83,TRADE
QLD1,2025/03/01 03:45:00,5920.86,110.83,TRADE
QLD1,2025/03/01 03:50:00,5952.44,129.95,TRADE
QLD1,2025/03/01 03:55:00,5891.86,125.22,TRADE
QLD1,2025/03/01 04:00:00,5928.06,110.83,TRADE
QLD1,2025/03/01 04:05:00,5904.46,107.67,TRADE
QLD1,2025/03/01 04:10:00,5963.75,110.83,TRADE
