REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2025/12/01 00:05:00,1361.23,-7.98,TRADE
SA1,2025/12/01 00:10:00,1351.92,-8,TRADE
SA1,2025/12/01 00:15:00,1349.71,-8,TRADE
SA1,2025/12/01 00:20:00,1351.04,-8,TRADE
SA1,2025/12/01 00:25:00,1366.2,-7.98,TRADE
SA1,2025/12/01 00:30:00,1389.17,-7.01,TRADE
SA1,2025/12/01 00:35:00,1410.09,-7.01,TRADE
SA1,2025/12/01 00:40:00,1449.31,-3.45,TRADE
SA1,2025/12/01 00:45:00,1467.55,-3.46,TRADE
SA1,2025/12/01 00:50:00,1440.52,-3.43,TRADE
SA1,2025/12/01 00:55:00,1441.47,-3.40,TRADE
SA1,2025/12/01 01:00:00,1442.6,-3.38,TRADE
SA1,2025/12/01 01:05:00,1448.94,-3.37,TRADE
SA1,2025/12/01 01:10:00,1421.75,-7.01,TRADE
SA1,2025/12/01 01:15:00,1420.74,-8,TRADE
SA1,2025/12/01 01:20:00,1393.22,-8,TRADE
SA1,2025/12/01 01:25:00,1382.71,-8,TRADE
SA1,2025/12/01 01:30:00,1361.41,-8,TRADE
SA1,2025/12/01 01:35:00,1377.81,-8,TRADE
SA1,2025/12/01 01:40:00,1408.97,-7.98,TRADE
SA1,2025/12/01 01:45:00,1401.12,-7.01,TRADE
SA1,2025/12/01 01:50:00,1400.18,-7.98,TRADE
SA1,2025/12/01 01:55:00,1397.73,-7.98,TRADE
SA1,2025/12/01 02:00:00,1380.8,-3.26,TRADE
SA1,2025/12/01 02:05:00,1401.04,-3.31,TRADE
SA1,2025/12/01 02:10:00,1395.84,-3.75,TRADE
SA1,2025/12/01 02:15:00,1375.77,-3.27,TRADE
SA1,2025/12/01 02:20:00,1354.62,-4.97,TRADE
SA1,2025/12/01 02:25:00,1343.14,-4.99,TRADE
SA1,2025/12/01 02:30:00,1342.27,-4.98,TRADE
SA1,2025/12/01 02:35:00,1333.82,-4.96,TRADE
SA1,2025/12/01 02:40:00,1330.47,-3.20,TRADE
SA1,2025/12/01 02:45:00,1332.44,-7.01,TRADE
SA1,2025/12/01 02:50:00,1317.64,-8,TRADE
SA1,2025/12/01 02:55:00,1322.89,-7.98,TRADE
SA1,2025/12/01 03:00:00,1311.89,-8,TRADE
SA1,2025/12/01 03:05:00,1307.92,-8,TRADE
SA1,2025/12/01 03:10:00,1296.55,-8,TRADE
SA1,2025/12/01 03:15:00,1298.52,-7.98,TRADE
SA1,2025/12/01 03:20:00,1314.55,-8,TRADE
SA1,2025/12/01 03:25:00,1305.39,-7.98,TRADE
SA1,2025/12/01 03:30:00,1296.82,-7.98,TRADE
SA1,2025/12/01 03:35:00,1302.83,-7.98,TRADE
SA1,2025/12/01 03:40:00,1304.45,-3.22,TRADE
SA1,2025/12/01 03:45:00,1298.19,-7.01,TRADE
SA1,2025/12/01 03:50:00,1293.79,-3.10,TRADE
SA1,2025/12/01 03:55:00,1279.79,-3.12,TRADE
SA1,2025/12/01 04:00:00,1265.4,-3.13,TRADE
SA1,2025/12/01 04:05:00,1289.05,-3.15,TRADE
SA1,2025/12/01 04:10:00,1260.02,-7.01,TRADE
SA1,2025/12/01 04:15:00,1265.77,-7.01,TRADE
SA1,2025/12/01 04:20:00,1263.21,-7.01,TRADE
SA1,2025/12/01 04:25:00,1275.21,-3.14,TRADE
SA1,2025/12/01 04:30:00,1293.14,-3.19,TRADE
SA1,2025/12/01 04:35:00,1299.86,-3.18,TRADE
SA1,2025/12/01 04:40:00,1291.44,-3.16,TRADE
SA1,2025/12/01 04:45:00,1296.08,-3.10,TRADE
SA1,2025/12/01 04:50:00,1315.33,-7.01,TRADE
SA1,2025/12/01 04:55:00,1302.17,-7.01,TRADE
SA1,2025/12/01 05:00:00,1309.46,-7.01,TRADE
SA1,2025/12/01 05:05:00,1326.2,-7.29,TRADE
SA1,2025/12/01 05:10:00,1335.95,0,TRADE
SA1,2025/12/01 05:15:00,1349.07,0,TRADE
SA1,2025/12/01 05:20:00,1364.91,0.01,TRADE
SA1,2025/12/01 05:25:00,1385.46,0.01,TRADE
SA1,2025/12/01 05:30:00,1387.96,7.58,TRADE
SA1,2025/12/01 05:35:00,1368.77,0.01,TRADE
SA1,2025/12/01 05:40:00,1396.9,7.58,TRADE
SA1,2025/12/01 05:45:00,1401.2,0.01,TRADE
SA1,2025/12/01 05:50:00,1393.47,0.01,TRADE
SA1,2025/12/01 05:55:00,1403.07,18.20,TRADE
SA1,2025/12/01 06:00:00,1383.55,0,TRADE
SA1,2025/12/01 06:05:00,1413.45,0,TRADE
SA1,2025/12/01 06:10:00,1421.04,0,TRADE
SA1,2025/12/01 06:15:00,1414.64,-5.18,TRADE
SA1,2025/12/01 06:20:00,1432.42,-6.85,TRADE
SA1,2025/12/01 06:25:00,1442.74,-6.86,TRADE
SA1,2025/12/01 06:30:00,1461.62,-7.01,TRADE
SA1,2025/12/01 06:35:00,1454.79,-6.87,TRADE
SA1,2025/12/01 06:40:00,1457.55,-6.88,TRADE
SA1,2025/12/01 06:45:00,1448.37,-7.01,TRADE
SA1,2025/12/01 06:50:00,1455.29,-7.30,TRADE
SA1,2025/12/01 06:55:00,1425.64,-7.31,TRADE
SA1,2025/12/01 07:00:00,1404.04,-7.01,TRADE
SA1,2025/12/01 07:05:00,1377.21,-7.01,TRADE
SA1,2025/12/01 07:10:00,1367.15,-7.01,TRADE
SA1,2025/12/01 07:15:00,1350.07,-7.41,TRADE
SA1,2025/12/01 07:20:00,1335.09,-7.77,TRADE
SA1,2025/12/01 07:25:00,1322.74,-7.76,TRADE
SA1,2025/12/01 07:30:00,1315.3,-7.83,TRADE
SA1,2025/12/01 07:35:00,1346.71,-3.32,TRADE
SA1,2025/12/01 07:40:00,1293.28,-4.75,TRADE
SA1,2025/12/01 07:45:00,1283.6,-4.49,TRADE
SA1,2025/12/01 07:50:00,1273.2,-4.44,TRADE
SA1,2025/12/01 07:55:00,1257.38,-6.01,TRADE
SA1,2025/12/01 08:00:00,1216.89,-8,TRADE
SA1,2025/12/01 08:05:00,1066.9,-8.86,TRADE
SA1,2025/12/01 08:10:00,1123.73,-7.79,TRADE
SA1,2025/12/01 08:15:00,1048.81,-10.80,TRADE
SA1,2025/12/01 08:20:00,981.48,-11.39,TRADE
SA1,2025/12/01 08:25:00,991.27,-10.54,TRADE
SA1,2025/12/01 08:30:00,899.98,-11.66,TRADE
SA1,2025/12/01 08:35:00,867.89,-13.04,TRADE
SA1,2025/12/01 08:40:00,848.15,-13.30,TRADE
SA1,2025/12/01 08:45:00,813.03,-14.23,TRADE
SA1,2025/12/01 08:50:00,818.39,-16.95,TRADE
SA1,2025/12/01 08:55:00,814.72,-15.08,TRADE
SA1,2025/12/01 09:00:00,774.38,-13.87,TRADE
SA1,2025/12/01 09:05:00,757.74,-10.80,TRADE
SA1,2025/12/01 09:10:00,757.03,-12.22,TRADE
SA1,2025/12/01 09:15:00,730,-11.66,TRADE
SA1,2025/12/01 09:20:00,717,-11.79,TRADE
SA1,2025/12/01 09:25:00,727.97,-11.66,TRADE
SA1,2025/12/01 09:30:00,733.53,-11.66,TRADE
SA1,2025/12/01 09:35:00,722.57,-13.53,TRADE
SA1,2025/12/01 09:40:00,731.92,-16.77,TRADE
SA1,2025/12/01 09:45:00,733.54,-20,TRADE
SA1,2025/12/01 09:50:00,750.5,-20,TRADE
SA1,2025/12/01 09:55:00,713.17,-18.63,TRADE
SA1,2025/12/01 10:00:00,666.74,-17.27,TRADE
SA1,2025/12/01 10:05:00,672.25,-15.08,TRADE
SA1,2025/12/01 10:10:00,648.51,-11.66,TRADE
SA1,2025/12/01 10:15:00,646.12,-11.66,TRADE
SA1,2025/12/01 10:20:00,634.82,-18.37,TRADE
SA1,2025/12/01 10:25:00,603.45,-20,TRADE
SA1,2025/12/01 10:30:00,606.16,-20,TRADE
SA1,2025/12/01 10:35:00,663.66,-19.50,TRADE
SA1,2025/12/01 10:40:00,696.2,-14.62,TRADE
SA1,2025/12/01 10:45:00,692.78,-14.62,TRADE
SA1,2025/12/01 10:50:00,654.09,-15.12,TRADE
SA1,2025/12/01 10:55:00,649.34,-15.89,TRADE
SA1,2025/12/01 11:00:00,592.98,-20,TRADE
SA1,2025/12/01 11:05:00,587.92,-17.26,TRADE
SA1,2025/12/01 11:10:00,597.33,-13.33,TRADE
SA1,2025/12/01 11:15:00,585.8,-11.66,TRADE
SA1,2025/12/01 11:20:00,519.54,-13.16,TRADE
SA1,2025/12/01 11:25:00,457.96,-11.66,TRADE
SA1,2025/12/01 11:30:00,467.14,-11.66,TRADE
SA1,2025/12/01 11:35:00,406.53,-11.66,TRADE
SA1,2025/12/01 11:40:00,403.85,-15.08,TRADE
SA1,2025/12/01 11:45:00,383.31,-19.50,TRADE
SA1,2025/12/01 11:50:00,353.18,-19.50,TRADE
SA1,2025/12/01 11:55:00,327.17,-19.88,TRADE
SA1,2025/12/01 12:00:00,307.44,-19.88,TRADE
SA1,2025/12/01 12:05:00,288.27,-19.88,TRADE
SA1,2025/12/01 12:10:00,299.29,-19.88,TRADE
SA1,2025/12/01 12:15:00,284.99,-19.88,TRADE
SA1,2025/12/01 12:20:00,278.4,-19.88,TRADE
SA1,2025/12/01 12:25:00,302.98,-19.88,TRADE
SA1,2025/12/01 12:30:00,310.72,-19.88,TRADE
SA1,2025/12/01 12:35:00,358.3,-19.50,TRADE
SA1,2025/12/01 12:40:00,309.87,-11.66,TRADE
SA1,2025/12/01 12:45:00,264.44,-15.08,TRADE
SA1,2025/12/01 12:50:00,234.49,-20,TRADE
SA1,2025/12/01 12:55:00,246.66,-19.50,TRADE
SA1,2025/12/01 13:00:00,245.92,-19.88,TRADE
SA1,2025/12/01 13:05:00,243.26,-11.66,TRADE
SA1,2025/12/01 13:10:00,267.18,-11.66,TRADE
SA1,2025/12/01 13:15:00,228.7,-11.66,TRADE
SA1,2025/12/01 13:20:00,246.88,-11.66,TRADE
SA1,2025/12/01 13:25:00,203.75,-11.15,TRADE
SA1,2025/12/01 13:30:00,228.55,-11.66,TRADE
SA1,2025/12/01 13:35:00,181.34,-11.66,TRADE
SA1,2025/12/01 13:40:00,188.8,-20,TRADE
SA1,2025/12/01 13:45:00,203.78,-20,TRADE
SA1,2025/12/01 13:50:00,207.08,-15.08,TRADE
SA1,2025/12/01 13:55:00,188.55,-20,TRADE
SA1,2025/12/01 14:00:00,189.19,-11.66,TRADE
SA1,2025/12/01 14:05:00,200.83,-20,TRADE
SA1,2025/12/01 14:10:00,198.69,-20,TRADE
SA1,2025/12/01 14:15:00,189.28,-19.88,TRADE
SA1,2025/12/01 14:20:00,183.73,-20,TRADE
SA1,2025/12/01 14:25:00,185.88,-20,TRADE
SA1,2025/12/01 14:30:00,185.91,-15.97,TRADE
SA1,2025/12/01 14:35:00,190.25,-44.08,TRADE
SA1,2025/12/01 14:40:00,170.07,-20.57,TRADE
SA1,2025/12/01 14:45:00,185.89,-79.06,TRADE
