REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2025/01/01 00:05:00,989.78,125.18,TRADE
TAS1,2025/01/01 00:10:00,991.04,120.28,TRADE
TAS1,2025/01/01 00:15:00,991.23,129.97,TRADE
TAS1,2025/01/01 00:20:00,985.66,118.28,TRADE
TAS1,2025/01/01 00:25:00,970.26,118.28,TRADE
TAS1,2025/01/01 00:30:00,974.7,118.28,TRADE
TAS1,2025/01/01 00:35:00,982.2,113.23,TRADE
TAS1,2025/01/01 00:40:00,983.62,120.28,TRADE
TAS1,2025/01/01 00:45:00,982.27,120.28,TRADE
TAS1,2025/01/01 00:50:00,979.44,119.28,TRADE
TAS1,2025/01/01 00:55:00,976.86,122.60,TRADE
TAS1,2025/01/01 01:00:00,971.28,120.28,TRADE
TAS1,2025/01/01 01:05:00,977.2,120.28,TRADE
TAS1,2025/01/01 01:10:00,979.61,120.28,TRADE
TAS1,2025/01/01 01:15:00,979.08,111.21,TRADE
TAS1,2025/01/01 01:20:00,979.75,120.28,TRADE
TAS1,2025/01/01 01:25:00,980.39,117.20,TRADE
TAS1,2025/01/01 01:30:00,977.77,112.74,TRADE
TAS1,2025/01/01 01:35:00,979.16,112.19,TRADE
TAS1,2025/01/01 01:40:00,975.34,107.88,TRADE
TAS1,2025/01/01 01:45:00,979.58,107.76,TRADE
TAS1,2025/01/01 01:50:00,973.69,105.24,TRADE
TAS1,2025/01/01 01:55:00,976.26,106.31,TRADE
TAS1,2025/01/01 02:00:00,971.98,105.42,TRADE
TAS1,2025/01/01 02:05:00,973.79,105.31,TRADE
TAS1,2025/01/01 02:10:00,976.9,106.32,TRADE
TAS1,2025/01/01 02:15:00,971.97,103.56,TRADE
TAS1,2025/01/01 02:20:00,974.33,104.37,TRADE
TAS1,2025/01/01 02:25:00,971.82,102.38,TRADE
TAS1,2025/01/01 02:30:00,968.1,99.43,TRADE
TAS1,2025/01/01 02:35:00,969.96,87.79,TRADE
TAS1,2025/01/01 02:40:00,963.95,84.40,TRADE
TAS1,2025/01/01 02:45:00,956.75,83.13,TRADE
TAS1,2025/01/01 02:50:00,954.25,83.47,TRADE
TAS1,2025/01/01 02:55:00,958.48,83.46,TRADE
TAS1,2025/01/01 03:00:00,959.46,82.32,TRADE
TAS1,2025/01/01 03:05:00,972.13,84.16,TRADE
TAS1,2025/01/01 03:10:00,967.07,83.13,TRADE
TAS1,2025/01/01 03:15:00,971.04,83.66,TRADE
TAS1,2025/01/01 03:20:00,965.58,82.25,TRADE
TAS1,2025/01/01 03:25:00,949.45,82.24,TRADE
TAS1,2025/01/01 03:30:00,962.29,81.84,TRADE
TAS1,2025/01/01 03:35:00,962.99,84.25,TRADE
TAS1,2025/01/01 03:40:00,966.92,84.70,TRADE
TAS1,2025/01/01 03:45:00,977.42,87.65,TRADE
TAS1,2025/01/01 03:50:00,975.42,84.31,TRADE
TAS1,2025/01/01 03:55:00,965.14,84.25,TRADE
TAS1,2025/01/01 04:00:00,966.28,83.35,TRADE
TAS1,2025/01/01 04:05:00,980.88,86.37,TRADE
TAS1,2025/01/01 04:10:00,977.31,85.40,TRADE
TAS1,2025/01/01 04:15:00,977.62,84.88,TRADE
TAS1,2025/01/01 04:20:00,975.53,84.86,TRADE
TAS1,2025/01/01 04:25:00,978.83,84.91,TRADE
TAS1,2025/01/01 04:30:00,967.09,84.82,TRADE
TAS1,2025/01/01 04:35:00,975.54,84.88,TRADE
TAS1,2025/01/01 04:40:00,985.78,84.86,TRADE
TAS1,2025/01/01 04:45:00,967.19,83.85,TRADE
TAS1,2025/01/01 04:50:00,979.7,84.83,TRADE
