REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2025/05/01 00:05:00,5945.44,84.45,TRADE
QLD1,2025/05/01 00:10:00,5920.05,83.73,TRADE
QLD1,2025/05/01 00:15:00,5874.68,81.39,TRADE
QLD1,2025/05/01 00:20:00,5843.09,82.02,TRADE
QLD1,2025/05/01 00:25:00,5797.14,80.72,TRADE
QLD1,2025/05/01 00:30:00,5748.28,80.35,TRADE
QLD1,2025/05/01 00:35:00,5783.15,83.73,TRADE
QLD1,2025/05/01 00:40:00,5809.41,83.73,TRADE
QLD1,2025/05/01 00:45:00,5723.86,79.99,TRADE
QLD1,2025/05/01 00:50:00,5746.21,80.33,TRADE
QLD1,2025/05/01 00:55:00,5731.81,80.29,TRADE
QLD1,2025/05/01 01:00:00,5753.95,80.78,TRADE
QLD1,2025/05/01 01:05:00,5678.69,79.68,TRADE
QLD1,2025/05/01 01:10:00,5669.92,79.63,TRADE
QLD1,2025/05/01 01:15:00,5622.49,78.87,TRADE
QLD1,2025/05/01 01:20:00,5699.4,77.78,TRADE
QLD1,2025/05/01 01:25:00,5673.57,77.25,TRADE
QLD1,2025/05/01 01:30:00,5687.52,77.53,TRADE
QLD1,2025/05/01 01:35:00,5570.69,72.75,TRADE
QLD1,2025/05/01 01:40:00,5624.99,82.82,TRADE
QLD1,2025/05/01 01:45:00,5634.8,77.25,TRADE
QLD1,2025/05/01 01:50:00,5552.22,78.17,TRADE
QLD1,2025/05/01 01:55:00,5605.78,78.91,TRADE
QLD1,2025/05/01 02:00:00,5578.18,78.86,TRADE
QLD1,2025/05/01 02:05:00,5577.95,78.81,TRADE
QLD1,2025/05/01 02:10:00,5613.42,79.33,TRADE
QLD1,2025/05/01 02:15:00,5593.59,77.86,TRADE
QLD1,2025/05/01 02:20:00,5531.4,78.24,TRADE
QLD1,2025/05/01 02:25:00,5565.53,79.19,TRADE
QLD1,2025/05/01 02:30:00,5570.94,79.17,TRADE
QLD1,2025/05/01 02:35:00,5498.2,78.10,TRADE
QLD1,2025/05/01 02:40:00,5495.58,78.06,TRADE
QLD1,2025/05/01 02:45:00,5542.87,78.61,TRADE
QLD1,2025/05/01 02:50:00,5535.5,78.59,TRADE
QLD1,2025/05/01 02:55:00,5546.99,79.06,TRADE
QLD1,2025/05/01 03:00:00,5538.47,79.06,TRADE
QLD1,2025/05/01 03:05:00,5549.48,79.05,TRADE
QLD1,2025/05/01 03:10:00,5507.31,79.99,TRADE
QLD1,2025/05/01 03:15:00,5514.42,79.04,TRADE
QLD1,2025/05/01 03:20:00,5517.76,79.51,TRADE
QLD1,2025/05/01 03:25:00,5550.27,80.03,TRADE
QLD1,2025/05/01 03:30:00,5519.02,77.86,TRADE
QLD1,2025/05/01 03:35:00,5517.57,79,TRADE
QLD1,2025/05/01 03:40:00,5532.22,79.01,TRADE
QLD1,2025/05/01 03:45:00,5523.73,77.86,TRADE
QLD1,2025/05/01 03:50:00,5449.1,77.95,TRADE
QLD1,2025/05/01 03:55:00,5535.61,78.99,TRADE
QLD1,2025/05/01 04:00:00,5538.87,79.48,TRADE
QLD1,2025/05/01 04:05:00,5502.44,77.78,TRADE
QLD1,2025/05/01 04:10:00,5605.2,80.07,TRADE
QLD1,2025/05/01 04:15:00,5590.02,79.99,TRADE
QLD1,2025/05/01 04:20:00,5634.68,80.63,TRADE
QLD1,2025/05/01 04:25:00,5632.89,80.65,TRADE
QLD1,2025/05/01 04:30:00,5592.1,79.67,TRADE
QLD1,2025/05/01 04:35:00,5555.19,79.14,TRADE
QLD1,2025/05/01 04:40:00,5609.36,80.15,TRADE
QLD1,2025/05/01 04:45:00,5653.56,79.99,TRADE
QLD1,2025/05/01 04:50:00,5684.36,82.26,TRADE
QLD1,2025/05/01 04:55:00,5694.76,84.15,TRADE
QLD1,2025/05/01 05:00:00,5698.63,83.73,TRADE
QLD1,2025/05/01 05:05:00,5744.1,81.69,TRADE
QLD1,2025/05/01 05:10:00,5752.86,82.85,TRADE
QLD1,2025/05/01 05:15:00,5861.66,84.45,TRADE
QLD1,2025/05/01 05:20:00,5819.02,83.73,TRADE
QLD1,2025/05/01 05:25:00,5885.33,84.45,TRADE
QLD1,2025/05/01 05:30:00,5909.82,86.53,TRADE
QLD1,2025/05/01 05:35:00,5936.95,84.45,TRADE
QLD1,2025/05/01 05:40:00,6018.9,93.83,TRADE
QLD1,2025/05/01 05:45:00,6039.77,93.83,TRADE
QLD1,2025/05/01 05:50:00,6070.53,98.45,TRADE
QLD1,2025/05/01 05:55:00,6111.76,98.83,TRADE
QLD1,2025/05/01 06:00:00,6191.93,98.83,TRADE
QLD1,2025/05/01 06:05:00,6233.86,124.42,TRADE
QLD1,2025/05/01 06:10:00,6258.51,128.73,TRADE
QLD1,2025/05/01 06:15:00,6318.86,132.83,TRADE
QLD1,2025/05/01 06:20:00,6344.77,136.82,TRADE
QLD1,2025/05/01 06:25:00,6419.41,169.09,TRADE
QLD1,2025/05/01 06:30:00,6464.91,170.26,TRADE
QLD1,2025/05/01 06:35:00,6491.13,171.54,TRADE
QLD1,2025/05/01 06:40:00,6402.78,162.95,TRADE
QLD1,2025/05/01 06:45:00,6421.53,162.95,TRADE
QLD1,2025/05/01 06:50:00,6399.01,163.55,TRADE
QLD1,2025/05/01 06:55:00,6390.19,132.83,TRADE
QLD1,2025/05/01 07:00:00,6328.22,101.73,TRADE
QLD1,2025/05/01 07:05:00,6375.91,98.45,TRADE
QLD1,2025/05/01 07:10:00,6349.26,84.45,TRADE
QLD1,2025/05/01 07:15:00,6330.46,93.83,TRADE
QLD1,2025/05/01 07:20:00,6306.92,75.83,TRADE
QLD1,2025/05/01 07:25:00,6275.06,40.59,TRADE
QLD1,2025/05/01 07:30:00,6152.07,38.37,TRADE
QLD1,2025/05/01 07:35:00,6079.47,14.19,TRADE
QLD1,2025/05/01 07:40:00,5981.89,44.94,TRADE
QLD1,2025/05/01 07:45:00,5823.16,44.94,TRADE
QLD1,2025/05/01 07:50:00,5800.92,34.75,TRADE
QLD1,2025/05/01 07:55:00,5753.49,34.57,TRADE
QLD1,2025/05/01 08:00:00,5652.4,34.75,TRADE
QLD1,2025/05/01 08:05:00,5603.46,54.76,TRADE
QLD1,2025/05/01 08:10:00,5562.2,54.76,TRADE
QLD1,2025/05/01 08:15:00,5539.77,54.76,TRADE
QLD1,2025/05/01 08:20:00,5417.27,29.91,TRADE
QLD1,2025/05/01 08:25:00,5319,-14.73,TRADE
QLD1,2025/05/01 08:30:00,5266.26,-14.37,TRADE
QLD1,2025/05/01 08:35:00,5149.88,-19.50,TRADE
QLD1,2025/05/01 08:40:00,5119.05,-19.50,TRADE
QLD1,2025/05/01 08:45:00,5059.58,-20,TRADE
QLD1,2025/05/01 08:50:00,5013.92,-20,TRADE
QLD1,2025/05/01 08:55:00,4926.92,-19.04,TRADE
QLD1,2025/05/01 09:00:00,4875.37,-19.50,TRADE
QLD1,2025/05/01 09:05:00,4829.03,-18.25,TRADE
